song_id,song_title,artist_name,total_person_count,view_count,crawl_date
genie_제이리움_the_wisp_of_winter,The Wisp of Winter,제이리움,16,14234,2025-07-04 00:46:13
genie_제이리움_the_wisp_of_winter,The Wisp of Winter,제이리움,0,0,2025-07-04 00:41:03
