song_id,song_title,artist_name,views,listeners,melon_song_id,crawl_date
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,51023513,2793531,30444778,2025-07-08 14:02:59
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,51023513,2793531,30444778,2025-07-08 13:54:51
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,51023513,2793531,30444778,2025-07-08 13:46:03
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,51023513,2793531,30444778,2025-07-08 13:41:40
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,51023513,2793531,30444778,2025-07-08 11:39:45
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,51023513,2793531,30444778,2025-07-08 11:37:51
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,51023513,2793531,30444778,2025-07-08 11:35:32
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,51023513,2793531,30444778,2025-07-08 11:33:27
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,51023513,2793531,30444778,2025-07-08 11:31:47
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,51023513,2793531,30444778,2025-07-08 11:27:22
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,51023513,2793531,30444778,2025-07-08 11:20:02
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,51023513,2793531,30444778,2025-07-08 10:55:50
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,50996847,2792560,30444778,2025-07-07 17:58:39
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,50996847,2792560,30444778,2025-07-07 17:58:22
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,50996847,2792560,30444778,2025-07-07 17:42:00
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,50996847,2792560,30444778,2025-07-07 17:35:38
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,50996847,2792560,30444778,2025-07-07 17:23:52
melon_우효_민들레_(single_ver.),민들레 (single ver.),우효,50996847,2792560,30444778,2025-07-07 17:19:21
